customer_id,item_name,selection_probability,will_order,predicted_quantity
1,Om Mahakaaleshwar Maida,1.0,1,1
1,Shreshtha Aata,1.0,1,4
1,Laal Gulaab Suji/Rava,1.0,1,24
1,Om Mahakaaleshwar Aata,1.0,1,2
1,Prakash Maida,0.9975093360980587,1,2
4,Prakash Maida,0.04352035335591719,0,0
4,Ruchi Gold Palm Pouch(1L),0.020861720438276322,0,0
4,Bawarchi Vanaspati Pouch 1ltr,0.0144640585940703,0,0
4,Raag Gold Palm Pouch,0.008572323888780065,0,0
4,Kezar Maida,0.003797266396216365,0,0
5,DCM Double Filter Sugar,0.04911520979730253,0,0
5,Prakash Maida,0.01253762597442138,0,0
5,Normal Sugar,0.008644017735001773,0,0
5,Kovila Maida,0.0005164742723691461,0,0
9,Tata Salt Pkt(1Kg),0.05433657078645701,0,0
12,Prakash Maida,0.016072096775740653,0,0
12,Prakash Aata,0.0021076052175567532,0,0
12,Soyum Soya Pouch,0.0021076052175567532,0,0
13,Shreshtha Aata,0.9965521514364845,1,1
13,Prakash Aata,0.9752835719434719,1,3
13,Kings Soya Pouch,0.0005164742723691461,0,0
14,Shreshtha Aata,0.990222874918031,1,1
14,Normal Sugar,0.008805373236430426,0,0
14,Fortune Soya Pouch(1L),0.001468261710584261,0,0
18,Prakash Maida,0.9997176642039532,1,5
18,Raag Gold Palm Pouch,0.9982858355513939,1,10
18,Kings Soya Pouch,0.0012781986683711812,0,0
18,Soyum Soya Pouch,0.0012781986683711812,0,0
20,Ruchi Gold Palm Pouch(1L),0.013570681326408955,0,0
20,Normal Sugar,0.004421319443944854,0,0
20,Nepali Soya,0.0014517471416839217,0,0
24,Raag Gold Palm Pouch,0.022765956568910593,0,0
24,Fortune Soya Tin(15L),0.008958843537414966,0,0
25,Tata Salt Pkt(1Kg),1.0,1,1
25,Shreshtha Aata,0.9990778799328919,1,1
25,Pukhraj Arhar Dal,0.9928926108643048,1,21
27,Steam Rice,1.0,1,2
27,Soyum Soya Tin(15L) V,1.0,1,5
27,Shreshtha Aata,1.0,1,4
27,Soyum Soya Pouch,0.05158552147604729,0,0
32,Prakash Aata,0.004675048589173607,0,0
32,Ruchi Gold Palm Pouch(1L),0.0023778046772434456,0,0
34,Kesariya maida,1.0,1,1
34,Swastik maida,0.9981140445457626,1,3
34,Kezar Maida,0.016156846253265064,0,0
37,Maharaja Chakki Aata,1.0,1,6
37,Steam Rice,0.026822359921400425,0,0
37,Chana Dal,0.020244658936140983,0,0
37,Normal Sugar,0.016947711363113037,0,0
37,Kezar Aata,0.005634532969187874,0,0
41,Fryola Palm,0.01111406937339754,0,0
42,Prakash Maida,0.0012781986683711812,0,0
42,Shreshtha Aata,0.0012781986683711812,0,0
44,Best Palm Tin(15kg),0.0063248006915762175,0,0
46,Hari Patti(Green) Rice,1.0,1,137
46,Om Mahakaaleshwar Maida,1.0,1,1
